Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-04,25.632113078190397,26.042989281893853,25.597292790769757,25.794607162475586,149424800,0,0
2016-04-05,25.420874041433954,25.704076459084437,25.399981159770604,25.49051284790039,106314800,0,0
2016-04-06,25.588007449164856,25.762107104453186,25.348909101567596,25.757463455200195,105616400,0,0
2016-04-07,25.523008020685214,25.632110751550996,25.098206220019712,25.195701599121094,127207600,0,0
2016-04-08,25.28159355495993,25.48122620828467,25.109813943560283,25.223560333251953,94326800,0,0
2016-04-11,25.295525229918685,25.676223086881006,25.26302676196095,25.307130813598633,117630000,0,0
2016-04-12,25.38140930155787,25.6506843036195,25.223560636804585,25.636756896972656,108929200,0,0
2016-04-13,25.72032677309834,26.077809890939147,25.72032677309834,26.00817108154297,133029200,0,0
2016-04-14,25.910675737589624,26.089417296867513,25.84335698198188,26.022098541259766,101895600,0,0
2016-04-15,26.02442059921856,26.068526418709368,25.471944912743403,25.499799728393555,187756000,0,0
2016-04-18,25.27695634365382,25.290883753680454,24.82429780744979,24.949649810791016,243286000,0,0
2016-04-19,25.042494909390832,25.070351493066248,24.659477067295672,24.81732749938965,129539600,0,0
2016-04-20,24.754657830621724,25.09124990221419,24.620020293571187,24.8684024810791,122444000,0,0
2016-04-21,24.821970366276084,24.821970366276084,24.494662136431014,24.599123001098633,126210000,0,0
2016-04-22,24.376280210406577,24.71751591116404,24.285748506658734,24.531808853149414,134732400,0,0
2016-04-25,24.373953662828107,24.524840396852298,24.260209041624268,24.39252471923828,112126400,0,0
2016-04-26,24.12093286290447,24.44359748397612,24.12093286290447,24.22307014465332,224064800,0,0
2016-04-27,22.28475923535403,22.913839205411353,22.210476775410857,22.70724105834961,458408400,0,0
2016-04-28,22.658495696995285,22.721170809554135,21.878528901631096,22.013166427612305,328970800,0,0
2016-04-29,21.818170783004394,21.987628579320436,21.474615082658847,21.7601375579834,274126000,0,0
